Hotel name,Current score,Review
소노캄 거제," ""4"""," ""Great hotel with a great view. The room were very clean and the food amazing. There are several choices for food and many things to do near by.This area is definitely for relaxing.  …Read moreGreat hotel with a great view. The room were very clean and the food amazing. There are several choices for food and many things to do near by.This area is definitely for relaxing.The hotel room is large with 2 room a great water view but there are several things inside I would change- bathroom and the shower head ??? See picture of the shower head I wish it was a normal shower. Also the master bathroom there was no curtains."""
소노캄 거제," ""4"""," ""Beautiful quiet hotel the AC in our room did not get too cool and the TV did not work but every room has a great view of the water. There is a water park attached to the hotel roughly $25 per person for the day. Clean rooms with great amenities within the hotel"""
소노캄 거제," ""5"""," ""This place has good view and give  excellent services."""
소노캄 거제," ""4"""," ""The view is 100% but bedding was horrible and not recommendable."""
소노캄 거제," ""4"""," ""Good Aqua Park"""
소노캄 거제," ""5"""," ""What a nice view with beautiful sea side road ~ 👍🏻👍🏻👍🏻"""
소노캄 거제," ""5"""," ""Nice to visit this"""
소노캄 거제," ""1"""," ""Only thing the suite has going for it is the view. Got a 2 bedroom suite and it only had one bed. Rest of us slept on the floor with the traditional Korean beds. This would normally be fine but these were essentially like sleeping on tissue  …Read moreOnly thing the suite has going for it is the view. Got a 2 bedroom suite and it only had one bed. Rest of us slept on the floor with the traditional Korean beds. This would normally be fine but these were essentially like sleeping on tissue and would have made no difference if we just slept on the floor. Secondary room also had no means of air conditioning and was extremely hot had to prop open door but made minimal difference. Definitely not a 4 star hotel would have been better off going to the Ramada across the street."""
소노캄 거제," ""5"""," ""Wonderful place. The staff was awesome and took care of every need. Water park was great fishing trip would have been better if it wasn't so hot that day. Genuine hospitality scenery was gorgeous. I would absolutely recommend if your visiting South Korea. It's a must see."""
소노캄 거제," ""4"""," ""Beautiful area"""
소노캄 거제," ""4"""," ""A little bit old and not.many services during coronavirus but with kids the best place in Geoje"""
소노캄 거제," ""5"""," ""Wow!! What a place. Awesome location nestled between the hills and the sea. Superb view. Great water sports. And a cruise on the yacht Rosemary 550 is a must if you are there."""
소노캄 거제," ""2"""," ""From my experience..I never stay in this kind of hotel before. I feel like there is nothing to do and also everything are all expensive in the hotel(even the pool). You will not find and transportation around the resort. Also the besic of  …Read moreFrom my experience..I never stay in this kind of hotel before. I feel like there is nothing to do and also everything are all expensive in the hotel(even the pool). You will not find and transportation around the resort. Also the besic of the service...is weird in here. You have to clean up the room before you left and there are none of room service book for order food.I will recommend only the view or sea sight that you can see the sea really clear."""
소노캄 거제," ""5"""," ""A good place to stay in Geo Jae with your family. Spacious room and warmy air."""
소노캄 거제," ""1"""," ""I really dont wanna visit here again :( It was so disappointing that housekeeping service was only offered for 3 nights or more even at a fee"""
